Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""LoginPage/IconMenu""))",Chrome 136.0.7103.114,,,22-05-2025 23:26:47,22-05-2025 23:26:47,0.313s,PASSED
"click(findTestObject(""LoginPage/LoginButton""))",Chrome 136.0.7103.114,,,22-05-2025 23:26:47,22-05-2025 23:26:48,0.845s,PASSED
"click(findTestObject(""LoginPage/LoginSubmitButton""))",Chrome 136.0.7103.114,,,22-05-2025 23:26:48,22-05-2025 23:26:49,0.399s,PASSED
"verifyElementText(findTestObject(""LoginPage/ErrorMessage""), ""Login failed! Please ensure the username and password are valid."")",Chrome 136.0.7103.114,,,22-05-2025 23:26:49,22-05-2025 23:26:50,1.322s,PASSED
takeFullPageScreenshot(),Chrome 136.0.7103.114,,,22-05-2025 23:26:50,22-05-2025 23:26:52,2.297s,PASSED
,,,,,,,
Test Cases/Login/TC_LOGIN_04,Chrome 136.0.7103.114,,,22-05-2025 23:26:52,22-05-2025 23:27:05,12.914s,PASSED
"openBrowser("""")",Chrome 136.0.7103.114,,,22-05-2025 23:26:52,22-05-2025 23:26:54,1.637s,PASSED
navigateToUrl(baseUrl),Chrome 136.0.7103.114,,,22-05-2025 23:26:54,22-05-2025 23:26:58,4.157s,PASSED
"click(findTestObject(""LoginPage/IconMenu""))",Chrome 136.0.7103.114,,,22-05-2025 23:26:58,22-05-2025 23:26:59,0.311s,PASSED
"click(findTestObject(""LoginPage/LoginButton""))",Chrome 136.0.7103.114,,,22-05-2025 23:26:59,22-05-2025 23:26:59,0.928s,PASSED
"testData = findTestData(""TestData1"")",Chrome 136.0.7103.114,,,22-05-2025 23:26:59,22-05-2025 23:26:59,0.009s,PASSED
"username = testData.getValue(""username"", 1)",Chrome 136.0.7103.114,,,22-05-2025 23:26:59,22-05-2025 23:26:59,0.003s,PASSED
"password = testData.getValue(""password"", 1)",Chrome 136.0.7103.114,,,22-05-2025 23:26:59,22-05-2025 23:26:59,0.002s,PASSED
"setText(findTestObject(""LoginPage/UsernameField""), username)",Chrome 136.0.7103.114,,,22-05-2025 23:26:59,22-05-2025 23:27:00,0.702s,PASSED
"setText(findTestObject(""LoginPage/PasswordField""), password)",Chrome 136.0.7103.114,,,22-05-2025 23:27:00,22-05-2025 23:27:01,0.534s,PASSED
"click(findTestObject(""LoginPage/LoginSubmitButton""))",Chrome 136.0.7103.114,,,22-05-2025 23:27:01,22-05-2025 23:27:02,0.923s,PASSED
"verifyElementPresent(findTestObject(""AppointmentPage/ApplyButton""), 5)",Chrome 136.0.7103.114,,,22-05-2025 23:27:02,22-05-2025 23:27:02,0.469s,PASSED
"click(findTestObject(""LoginPage/IconMenu""))",Chrome 136.0.7103.114,,,22-05-2025 23:27:02,22-05-2025 23:27:02,0.276s,PASSED
"click(findTestObject(""LoginPage/ClickLogout""))",Chrome 136.0.7103.114,,,22-05-2025 23:27:02,22-05-2025 23:27:03,0.960s,PASSED
takeFullPageScreenshot(),Chrome 136.0.7103.114,,,22-05-2025 23:27:03,22-05-2025 23:27:05,1.947s,PASSED
,,,,,,,
Test Cases/Login/TC_LOGIN_05,Chrome 136.0.7103.114,,,22-05-2025 23:27:05,22-05-2025 23:27:16,11.196s,PASSED
"openBrowser("""")",Chrome 136.0.7103.114,,,22-05-2025 23:27:05,22-05-2025 23:27:07,1.653s,PASSED
navigateToUrl(baseUrl),Chrome 136.0.7103.114,,,22-05-2025 23:27:07,22-05-2025 23:27:12,5.333s,PASSED
"click(findTestObject(""LoginPage/IconMenu""))",Chrome 136.0.7103.114,,,22-05-2025 23:27:12,22-05-2025 23:27:13,0.313s,PASSED
"click(findTestObject(""LoginPage/MakeAppointment""))",Chrome 136.0.7103.114,,,22-05-2025 23:27:13,22-05-2025 23:27:14,1.275s,PASSED
"verifyElementPresent(findTestObject(""LoginPage/VerifyLoginPage""), 5)",Chrome 136.0.7103.114,,,22-05-2025 23:27:14,22-05-2025 23:27:14,0.239s,PASSED
takeFullPageScreenshot(),Chrome 136.0.7103.114,,,22-05-2025 23:27:14,22-05-2025 23:27:16,2.315s,PASSED
